"","gene","cor_cnt_telo","p_rank_telo"
"774","ZNF32_237",0.000317163898036514,0.760486239439454
"612","EGR2_196",0.000324317363325094,0.383184867094479
"710","PPARD_664",0.000326333460005595,0.60614390168955
"695","ZBTB4_249",0.000335792819983748,0.567890696575825
"772","HNF4G_688",0.00033633792069798,0.749667924910963
"791","EMX2_525",0.000337581383527071,0.790618288520241
"679","ZFP161_850",0.000338507496532699,0.536829382190992
"615","EPAS1_36",0.000343982851042652,0.392217446841488
"515","TFAP2A_5",0.000347614541904272,0.270366746055245
"740","ARX_394",0.000347674974770532,0.695698864141364
"733","HOXB8_444",0.000353783512732616,0.681366655120094
"712","HEY1_68",0.000354917605047558,0.610872791702616
"645","NEUROD1_63",0.000369772174235278,0.453892869230761
"741","TCFL5_25",0.000370731509339556,0.698073229943111
"719","NKX31_517",0.000384039859901143,0.636072219329287
"693","SPI1_322",0.000389457331714943,0.556546595791132
"704","ARID3B_8",0.000398086488939468,0.590785622561023
"805","MYBL2_647",0.000398559242036603,0.809107063825429
"757","CGBP_298",0.00039885107062649,0.731403083979005
"684","IRF2_634",0.000402010491147883,0.548033869693208
"611","HIC1_254",0.000422526372442655,0.383084805424427
"641","GLI2_167",0.000423469825532618,0.446395848687734
"730","DMRTC2_852",0.000431275439619332,0.679636158622775
"744","HMBOX1_488",0.000431953778687908,0.702868012831268
"747","PAX4_607",0.00043741249287968,0.708038169713373
"746","GBX1_508",0.000438527562591302,0.704280629722218
"722","VSX1_408",0.000445193207241459,0.642917840154715
"664","SOX30_747",0.000450586068200944,0.518232627738532
"433","CTCF_177",0.000451775447933406,0.170408088782788
"702","NKX23_443",0.000453924346994228,0.583638607370653
"677","MNT_20",0.00045646569841456,0.534158641431925
"698","TEAD4_797",0.000460480238246752,0.570813838206485
"425","ARNT2_76",0.000471405995108496,0.156933170480802
"709","ZKSCAN1_181",0.000477647739628563,0.605254010578944
"589","GLI3_182",0.000484876750127777,0.359721331776983
"636","IRF4_632",0.000485242260923335,0.434665149024434
"625","BCL11A_194",0.000487555325161843,0.418686326139425
