"","cor","motif","name"
"474",-0.00463125758544893,"MA1491.1","GLI3"
"303",-0.00428096686088486,"MA0524.2","TFAP2C"
"64",-0.00400918083463587,"MA0497.1","MEF2C"
"264",-0.00399686427618672,"MA0776.1","MYBL1"
"19",-0.00366229900029073,"MA0074.1","RXRA::VDR"
"109",-0.00349911798396366,"MA0621.1","mix-a"
"471",-0.00326752069556894,"MA1485.1","FERD3L"
"349",-0.00321717322719539,"MA0862.1","GMEB2"
"663",-0.00294480738916566,"MA1655.1","ZNF341"
"348",-0.00289904622651136,"MA0861.1","TP73"
"417",-0.00265029124185355,"MA0037.3","GATA3"
"140",-0.002615390567657,"MA0649.1","HEY2"
"573",-0.0024779419941778,"MA1601.1","ZNF75D"
"524",-0.0019590032222222,"MA1545.1","OVOL2"
"403",-0.00191323306262661,"MA1116.1","RBPJ"
"304",-0.00180689979778821,"MA0815.1","TFAP2C(var.3)"
"352",-0.00170888263488158,"MA0865.1","E2F8"
"3",-0.00158452364999904,"MA0019.1","Ddit3::Cebpa"
"28",-0.00153576974395993,"MA0108.2","TBP"
"389",-0.00149794948223514,"MA0852.2","FOXK1"
"77",-0.00139291428731128,"MA0520.1","Stat6"
"460",-0.00138995808877777,"MA1472.1","BHLHA15(var.2)"
"465",-0.00100783026690564,"MA1478.1","DMRTA2"
"706",-0.000929697437521307,"MA0052.4","MEF2A"
"94",-0.000914437893925701,"MA0599.1","KLF5"
"625",-0.000880786085009708,"MA0703.2","LMX1B"
"504",-0.000730526183982851,"MA1523.1","MSANTD3"
"104",-0.000617679353006489,"MA0613.1","FOXG1"
"98",-0.000491226507610978,"MA0604.1","Atf1"
"255",-0.000312311174500702,"MA0767.1","GCM2"
"294",-0.000305871035798799,"MA0804.1","TBX19"
"637",-0.000285467619849437,"MA0753.2","ZNF740"
"86",-0.000222038759009183,"MA0144.2","STAT3"
"44",-2.54727292858241e-06,"MA0152.1","NFATC2"
"200",0.000123050156241766,"MA0710.1","NOTO"
"605",0.000467452313098769,"MA0766.2","GATA5"
"58",0.000469572450668965,"MA0483.1","Gfi1b"
"662",0.00102587876480964,"MA1654.1","ZNF16"
"87",0.00103449173794953,"MA0140.2","GATA1::TAL1"
"700",0.00117961658947449,"MA0039.4","KLF4"
"307",0.00172804388102952,"MA0464.2","BHLHE40"
"730",0.00185415279188281,"MA0143.4","SOX2"
"387",0.00200416782569344,"MA0911.1","Hoxa11"
"154",0.00212529433213109,"MA0661.1","MEOX1"
"175",0.00229244014101674,"MA0683.1","POU4F2"
"568",0.00311388415612932,"MA1594.1","ZNF382"
"459",0.00321586488948678,"MA1471.1","BARX2"
"155",0.00357062994545441,"MA0662.1","MIXL1"
"521",0.00377810578665032,"MA1541.1","NR6A1"
"209",0.00382809941131179,"MA0718.1","RAX"
"300",0.00383592671889399,"MA0811.1","TFAP2B"
"404",0.00385023487424834,"MA1117.1","RELB"
"480",0.00406186418611747,"MA1498.1","HOXA7"
"620",0.00406186418611747,"MA0910.2","HOXD8"
"316",0.00418824688392162,"MA0825.1","MNT"
"659",0.00427465772447238,"MA1651.1","ZFP42"
"194",0.00431356252150952,"MA0704.1","Lhx4"
"212",0.00431356252150952,"MA0721.1","UNCX"
"741",0.00431849720801481,"MA1123.2","TWIST1"
"302",0.00447033383692909,"MA0813.1","TFAP2B(var.3)"
"499",0.0046221210105206,"MA1518.1","LHX1"
"117",0.00485355645842584,"MA0631.1","Six3"
"152",0.00522957318104741,"MA0658.1","LHX6"
"487",0.00525242459021026,"MA1505.1","HOXC8"
"100",0.00540889977256087,"MA0607.1","Bhlha15"
"125",0.00549362351601298,"MA0639.1","DBP"
"168",0.00609576845911858,"MA0674.1","NKX6-1"
"169",0.00609576845911858,"MA0675.1","NKX6-2"
"500",0.00609576845911858,"MA1519.1","LHX5"
"452",0.00616730904787375,"MA1463.1","ARGFX"
"716",0.00642427134598406,"MA1112.2","NR4A1"
"1",0.00672530737539833,"MA0004.1","Arnt"
"540",0.00673350538899394,"MA1562.1","SOX14"
"559",0.00681926658353355,"MA1581.1","ZBTB6"
"606",0.00718491538978739,"MA0038.2","GFI1"
"315",0.00718757553881486,"MA0058.3","MAX"
"379",0.00721666054350856,"MA0897.1","Hmx2"
"6",0.00753590037948124,"MA0031.1","FOXD1"
"136",0.00753590037948124,"MA0157.2","FOXO3"
"406",0.00760790163321731,"MA1119.1","SIX2"
"666",0.00761695024772469,"MA1683.1","FOXA3"
"530",0.00772258256936312,"MA1552.1","RARB(var.3)"
"589",0.00782744299591707,"MA1625.1","Stat5b"
"351",0.00799978638722468,"MA0024.3","E2F1"
"643",0.00819241450727789,"MA1635.1","BHLHE22(var.2)"
"134",0.00821583827719426,"MA0042.2","FOXI1"
"135",0.00821583827719426,"MA0033.2","FOXL1"
"334",0.00821583827719426,"MA0848.1","FOXO4"
"335",0.00821583827719426,"MA0849.1","FOXO6"
"336",0.00821583827719426,"MA0850.1","FOXP3"
"142",0.00826679434825702,"MA0046.2","HNF1A"
"533",0.00850453372033746,"MA1555.1","RXRB(var.2)"
"96",0.00856675890951089,"MA0602.1","Arid5a"
"546",0.00877405611755176,"MA1568.1","TCF21(var.2)"
"7",0.00882796356487107,"MA0040.1","Foxq1"
"178",0.00897027153814448,"MA0686.1","SPDEF"
"654",0.0090577443241643,"MA1646.1","OSR2"
"690",0.00933898129601833,"MA0035.4","GATA1"
"624",0.00939293092868618,"MA0702.2","LMX1A"
"285",0.00946704487941058,"MA0796.1","TGIF1"
"11",0.00951154037715519,"MA0059.1","MAX::MYC"
"356",0.00951220362303191,"MA0872.1","TFAP2A(var.3)"
"329",0.00958731601836811,"MA0843.1","TEF"
"252",0.00969029972962589,"MA0762.1","ETV2"
"48",0.00970028532473404,"MA0163.1","PLAG1"
"566",0.00973420564569144,"MA1592.1","ZNF274"
"340",0.00978169737209106,"MA0855.1","RXRB"
"131",0.00985065292792219,"MA0644.1","ESX1"
"36",0.0101218511377589,"MA0135.1","Lhx3"
"529",0.0101560703180256,"MA1550.1","PPARD"
"204",0.0104575449274368,"MA0713.1","PHOX2A"
"552",0.0105179973187713,"MA1574.1","THRB"
"363",0.0107321759891603,"MA0880.1","Dlx3"
"477",0.0107339863937959,"MA1495.1","HOXA1"
"616",0.0107339863937959,"MA0904.2","HOXB5"
"571",0.0108102147197307,"MA1599.1","ZNF682"
"531",0.0112229554525467,"MA1553.1","RARG(var.3)"
"173",0.0112913927128349,"MA0068.2","PAX4"
"195",0.0112913927128349,"MA0705.1","Lhx8"
"555",0.0112913927128349,"MA1577.1","TLX2"
"623",0.0112913927128349,"MA0701.2","LHX9"
"629",0.0112913927128349,"MA0075.3","PRRX2"
"353",0.0114146617586695,"MA0866.1","SOX21"
"583",0.0114812998152354,"MA1619.1","Ptf1a(var.2)"
"129",0.0115174924070264,"MA0642.1","EN2"
"75",0.0116956738313639,"MA0518.1","Stat4"
"593",0.0117005882921602,"MA1630.1","Znf281"
"67",0.0118771310963393,"MA0504.1","NR2C2"
"588",0.0121024475099982,"MA1624.1","Stat5a"
"15",0.0121482915426987,"MA0070.1","PBX1"
"506",0.0121835624493855,"MA1525.1","NFATC4"
"347",0.0121860366291297,"MA0106.3","TP53"
"532",0.0124379439902079,"MA1554.1","RFX7"
"341",0.0125277380497516,"MA0856.1","RXRG"
"395",0.0127557268161063,"MA1109.1","NEUROD1"
"686",0.0129045459356748,"MA0047.3","FOXA2"
"582",0.0129580981082669,"MA1618.1","Ptf1a"
"269",0.0130656577529963,"MA0780.1","PAX3"
"338",0.0131553136969567,"MA0853.1","Alx4"
"650",0.0136842862171544,"MA1642.1","NEUROG2(var.2)"
"192",0.0137168208315826,"MA0698.1","ZBTB18"
"651",0.0138115158112474,"MA1643.1","NFIB"
"446",0.0140009011815799,"MA0693.2","VDR"
"201",0.014276302902353,"MA0124.2","Nkx3-1"
"611",0.0145039187830948,"MA0650.2","HOXA13"
"646",0.0145141986554787,"MA1638.1","HAND2"
"13",0.0146020021313175,"MA0067.1","Pax2"
"355",0.0150865173315807,"MA0870.1","Sox1"
"76",0.0151739069585658,"MA0519.1","Stat5a::Stat5b"
"550",0.0155580074364141,"MA1572.1","TGIF2LY"
"385",0.0159037926466775,"MA0907.1","HOXC13"
"426",0.0165552635292876,"MA1133.1","JUN::JUNB(var.2)"
"34",0.0165631346133956,"MA0125.1","Nobox"
"601",0.0166395162807743,"MA0469.3","E2F3"
"116",0.0167933270314977,"MA0630.1","SHOX"
"148",0.0167933270314977,"MA0654.1","ISX"
"207",0.0167933270314977,"MA0716.1","PRRX1"
"208",0.0167933270314977,"MA0717.1","RAX2"
"103",0.0168154719753441,"MA0611.1","Dux"
"680",0.0171297174399943,"MA0592.3","ESRRA"
"745",0.0173234496839016,"MA0528.2","ZNF263"
