"sumexp","cor","gene"
13.213148696578,-0.0671368537281322,"AC002331.1"
12.8306461824625,-0.0666703433680072,"SLCO1A2"
21.6945250459097,-0.0664130650721169,"IL21"
1569.22196259213,-0.0664064505240783,"ERVMER61-1"
609.34742518522,-0.0659083898852532,"HDAC9"
3619.15573593781,-0.0657589534254781,"LINC01473"
4596.78844965872,-0.0657580499789734,"IL4R"
13.404635234161,-0.0656460128070125,"LOXHD1"
-11.3535638262704,-0.0655323778291626,"LINC02227"
987.819106905815,-0.0655189595865954,"MPEG1"
74.118697067624,-0.0653646055683897,"SLC35F3"
4.01247101687971,-0.0652474170841251,"IGKV3-20"
59.7423478139583,-0.0652106551804404,"MRC1"
325.428594074651,-0.065131788263401,"AFF2"
199.619853509946,-0.0651300827620055,"AC015849.1"
2121.66543446417,-0.065129640952884,"RALGPS2"
0.164219916973613,-0.0650817604845014,"AC008568.1"
65.1584214884308,-0.0650735560022536,"PAX5"
9165.96294938902,-0.0647224177128973,"CSGALNACT1"
2068.24848127755,-0.0644794316900158,"IFITM3"
137.84853307126,-0.064458169207584,"RNF165"
51.3186974928579,-0.0644492116481287,"LINC02664"
4177.06825910554,-0.0643610142931136,"CRADD"
2037.28904186052,-0.0643045614716109,"FGL2"
-4.11942063182346,-0.0643032249041691,"IL6"
636.978940040013,-0.064184943781579,"IFIT2"
224.403937795176,-0.0641839747147981,"CLEC12A"
42.5120993412018,-0.0639642886253194,"CASP5"
555.88214676294,-0.0638896552225622,"EMILIN2"
170.599586430884,-0.0636325089398309,"LYPLAL1-DT"
25.4721663669719,-0.0632317684009279,"AL162414.1"
83.6366107797013,-0.0627926632822647,"NLGN4Y"
2424.18099111527,-0.0625717638364526,"PTPRM"
123.713514550011,-0.0625023355459839,"ROR2"
6605.34916030276,-0.0624995073037638,"PRKN"
80.1404620186148,-0.0619872300637137,"TMEM178B"
1585.5477546968,-0.0617821387195246,"AC008014.1"
2265.72877208832,-0.0617769029348047,"VCAN"
116.316153969673,-0.061068469122417,"IGHD"
150.738571086692,-0.0610677370481852,"IGSF11"
3.44757072795314,-0.061007924853271,"PDZRN4"
21.2922177836662,-0.0609258223713667,"ESCO2"
24.8727369337476,-0.0607806120447709,"CCDC60"
87.7551386212007,-0.0607353896770479,"DTL"
286.049794502446,-0.0606229789890111,"MTUS2"
25.6666127172734,-0.0606141358279389,"CNRIP1"
283.603007980918,-0.0605588740422761,"AC090204.1"
2149.84098222538,-0.0604697410293318,"CNNM2"
366.122493424854,-0.0603050387892311,"CLEC7A"
