"cor","motif","name"
0.0171373124432714,"MA0880.1","Dlx3"
0.018018747393423,"MA1569.1","TFAP2E"
0.0180207931430408,"MA1524.1","MSGN1"
0.0183657081681996,"MA1544.1","OVOL1"
0.0185334254395333,"MA1643.1","NFIB"
0.0187038977661152,"MA1518.1","LHX1"
0.0191907130959345,"MA0686.1","SPDEF"
0.0193113988942978,"MA0138.2","REST"
0.0193590664843751,"MA1647.1","PRDM4"
0.0204036226945692,"MA0484.2","HNF4G"
0.0207999652042865,"MA0528.2","ZNF263"
0.0210633311156468,"MA1568.1","TCF21(var.2)"
0.0211163962305039,"MA1587.1","ZNF135"
0.0214108687321655,"MA0059.1","MAX::MYC"
0.0217724046726891,"MA0593.1","FOXP2"
0.0222765531435492,"MA0851.1","Foxj3"
0.0229103129460566,"MA0770.1","HSF2"
0.0229475040682378,"MA0524.2","TFAP2C"
0.0231437725307929,"MA0664.1","MLXIPL"
0.0234024043142651,"MA1597.1","ZNF528"
0.0240450959898348,"MA0161.2","NFIC"
0.0249433406433282,"MA0040.1","Foxq1"
0.0251273088742985,"MA0780.1","PAX3"
0.0265854623937054,"MA1501.1","HOXB7"
0.0266771854774107,"MA0482.2","GATA4"
0.0270013520480476,"MA0670.1","NFIA"
0.0275928086497663,"MA0811.1","TFAP2B"
0.0276698196222689,"MA0091.1","TAL1::TCF3"
0.0277045535494718,"MA0819.1","CLOCK"
0.027850843510327,"MA0073.1","RREB1"
0.027898906680704,"MA0816.1","Ascl2"
0.0284362639404938,"MA0856.1","RXRG"
0.0290473119715937,"MA1470.1","BACH2(var.2)"
0.0291530687165405,"MA0106.3","TP53"
0.0293397757785482,"MA0024.3","E2F1"
0.0296768478422076,"MA0125.1","Nobox"
0.030402303620403,"MA1475.1","CREB3L4(var.2)"
0.030448165294985,"MA1503.1","HOXB9"
0.0304922107636434,"MA1148.1","PPARA::RXRA"
0.0310022514962128,"MA1474.1","CREB3L4"
0.0310776392200319,"MA0159.1","RARA::RXRA"
0.0311008194323431,"MA1642.1","NEUROG2(var.2)"
0.0319544067661189,"MA0674.1","NKX6-1"
0.0319544067661189,"MA0675.1","NKX6-2"
0.0319544067661189,"MA1519.1","LHX5"
0.0319799275745808,"MA0065.2","Pparg::Rxra"
0.0323606683897814,"MA1508.1","IKZF1"
0.0324545251836234,"MA0503.1","Nkx2-5(var.2)"
0.0326231668289753,"MA0608.1","Creb3l2"
0.0329744275505232,"MA1498.1","HOXA7"
0.0329744275505232,"MA0910.2","HOXD8"
0.0339428188206877,"MA1109.1","NEUROD1"
0.0342003468581406,"MA0146.2","Zfx"
0.0354068014070196,"MA0831.2","TFE3"
0.0367220049824747,"MA0698.1","ZBTB18"
0.0368600044184724,"MA0755.1","CUX2"
0.0376550758178748,"MA0614.1","Foxj2"
0.0377967726406387,"MA0122.3","Nkx3-2"
0.0381176258651635,"MA0839.1","CREB3L1"
0.0385840076525482,"MA0104.4","MYCN"
0.0387403930856128,"MA0840.1","Creb5"
0.0393306488146606,"MA0914.1","ISL2"
0.0395327867875535,"MA1553.1","RARG(var.3)"
0.0396159829320113,"MA1133.1","JUN::JUNB(var.2)"
0.0401835426766363,"MA0882.1","DLX6"
0.0402571651938316,"MA1147.1","NR4A2::RXRA"
0.0404274780421993,"MA1525.1","NFATC4"
0.0406321505834721,"MA1585.1","ZKSCAN1"
0.0407243848157003,"MA0692.1","TFEB"
0.0409870303814715,"MA1115.1","POU5F1"
0.0417390397898312,"MA0663.1","MLX"
0.042689907772454,"MA0796.1","TGIF1"
0.0432677383637938,"MA0631.1","Six3"
0.0433037242878889,"MA0881.1","Dlx4"
0.0433099068364877,"MA0083.3","SRF"
0.0436843380732968,"MA0785.1","POU2F1"
0.0438344880377912,"MA1140.2","JUNB(var.2)"
0.0440104966147432,"MA1581.1","ZBTB6"
0.0441959360802566,"MA0715.1","PROP1"
0.0443951412186523,"MA0899.1","HOXA10"
0.0447576685380915,"MA0014.3","PAX5"
0.0455233439942472,"MA0468.1","DUX4"
0.0461082890659691,"MA1644.1","NFYC"
0.0464984260414878,"MA0853.1","Alx4"
0.0467465637743291,"MA0043.3","HLF"
0.046830515976378,"MA1539.1","NR2F6(var.3)"
0.0470241357389299,"MA0132.2","PDX1"
0.0470241357389299,"MA1481.1","DRGX"
0.0470241357389299,"MA0612.2","EMX1"
0.0470241357389299,"MA0893.2","GSX2"
0.0470241357389299,"MA0900.2","HOXA2"
0.0470241357389299,"MA0902.2","HOXB2"
0.0471818560388449,"MA1119.1","SIX2"
0.0472510677724566,"MA0667.1","MYF6"
0.0473235377929242,"MA1635.1","BHLHE22(var.2)"
0.0473668532033284,"MA0611.1","Dux"
0.0474408526250235,"MA1497.1","HOXA6"
0.0477277823833535,"MA0060.3","NFYA"
0.0487303269757115,"MA0827.1","OLIG3"
0.049021368423753,"MA0896.1","Hmx1"
0.049248471803059,"MA1139.1","FOSL2::JUNB(var.2)"
0.0498569410434835,"MA0124.2","Nkx3-1"
0.050065719168918,"MA1145.1","FOSL2::JUND(var.2)"
0.0501206507863135,"MA0066.1","PPARG"
0.0505190023342727,"MA1514.1","KLF17"
0.0505326194439777,"MA1136.1","FOSB::JUNB(var.2)"
0.0511448117425857,"MA0834.1","ATF7"
0.0516963102993099,"MA1127.1","FOSB::JUN"
0.0520371954897262,"MA0775.1","MEIS3"
0.0521096162441833,"MA1588.1","ZNF136"
0.0522313950609116,"MA1153.1","Smad4"
0.0526673215843235,"MA1618.1","Ptf1a"
0.0528350642460005,"MA0105.4","NFKB1"
0.0532800395692217,"MA1143.1","FOSL1::JUND(var.2)"
0.0536008065977471,"MA0788.1","POU3F3"
0.0536193132067523,"MA1555.1","RXRB(var.2)"
0.0536614420324095,"MA1604.1","Ebf2"
0.054088919364741,"MA0832.1","Tcf21"
0.0550775943493303,"MA0498.2","MEIS1"
0.0554079702330484,"MA1124.1","ZNF24"
0.0557007872093725,"MA0056.2","MZF1"
0.0566197725566248,"MA0644.1","ESX1"
0.0570732403563088,"MA0858.1","Rarb(var.2)"
0.0579446239628551,"MA1593.1","ZNF317"
0.0582931251007418,"MA0661.1","MEOX1"
0.0584971583394033,"MA1485.1","FERD3L"
0.0590676222489865,"MA0844.1","XBP1"
0.059168009670236,"MA1466.1","ATF6"
0.0597306846938172,"MA0859.1","Rarg"
0.0597572492077879,"MA0100.3","MYB"
0.0597608818226329,"MA0003.4","TFAP2A"
0.0599163923350724,"MA1530.1","NKX6-3"
0.0600750341826513,"MA1552.1","RARB(var.3)"
0.0610598532547883,"MA0687.1","SPIC"
0.0617465908206272,"MA1131.1","FOSL2::JUN(var.2)"
0.061764053458665,"MA1471.1","BARX2"
0.0618238443443,"MA1646.1","OSR2"
0.062476596560838,"MA1146.1","NR1H4::RXRA"
0.0624947173178239,"MA1483.1","ELF2"
0.0625500575386103,"MA1154.1","ZNF282"
0.0636624320272703,"MA0046.2","HNF1A"
0.0639843527080494,"MA0116.1","Znf423"
0.0640401576533178,"MA0818.1","BHLHE22"
0.0645134662261728,"MA1523.1","MSANTD3"
0.0645547999249653,"MA0119.1","NFIC::TLX1"
0.0648643398777143,"MA1484.1","ETS2"
0.0663561158331571,"MA0897.1","Hmx2"
0.0664438181233307,"MA0630.1","SHOX"
0.0664438181233307,"MA0654.1","ISX"
0.0664438181233307,"MA0716.1","PRRX1"
0.0664438181233307,"MA0717.1","RAX2"
0.0670480812175942,"MA0605.2","ATF3"
0.0686118588619075,"MA0627.2","POU2F3"
0.0696335870766317,"MA0786.1","POU3F1"
0.069796250701501,"MA0494.1","Nr1h3::Rxra"
0.0698797508586244,"MA0870.1","Sox1"
0.0702672875413134,"MA1129.1","FOSL1::JUN(var.2)"
0.0704321660598342,"MA0706.1","MEOX2"
0.0712272684554429,"MA0860.1","Rarg(var.2)"
0.0717190853705923,"MA0511.2","RUNX2"
0.0723505749703485,"MA0703.2","LMX1B"
0.0723535756373495,"MA1596.1","ZNF460"
0.0726454665532119,"MA0656.1","JDP2(var.2)"
0.0730642819527425,"MA0691.1","TFAP4"
0.0735197143966057,"MA0754.1","CUX1"
0.0735737540884046,"MA0669.1","NEUROG2"
