ID,COLLECTION,BASE_ID,VERSION,NAME,ACC
12802,UNVALIDATED,UN0483,1,Zfp298,""
12803,UNVALIDATED,UN0484,1,Zfp367,""
12804,CORE,MA1928,1,BNC2,Q6ZN30
12805,CORE,MA1929,1,CTCF,P49711
12806,CORE,MA1930,1,CTCF,P49711
12807,CORE,MA1931,1,ELK1::HOXA1,P19419
12807,CORE,MA1931,1,ELK1::HOXA1,P49639
12808,CORE,MA1932,1,ELK1::HOXB13,P19419
12808,CORE,MA1932,1,ELK1::HOXB13,Q92826
12809,CORE,MA1933,1,ELK1::SREBF2,P19419
12809,CORE,MA1933,1,ELK1::SREBF2,Q12772
12810,CORE,MA1934,1,ERF::FIGLA,P50548
12810,CORE,MA1934,1,ERF::FIGLA,Q6QHK4
12811,CORE,MA1935,1,ERF::FOXI1,P50548
12811,CORE,MA1935,1,ERF::FOXI1,Q12951
12812,CORE,MA1936,1,ERF::FOXO1,P50548
12812,CORE,MA1936,1,ERF::FOXO1,Q9R1E0
12813,CORE,MA1937,1,ERF::HOXB13,P50548
12813,CORE,MA1937,1,ERF::HOXB13,Q92826
12814,CORE,MA1938,1,ERF::NHLH1,P50548
12814,CORE,MA1938,1,ERF::NHLH1,Q02575
12815,CORE,MA1939,1,ERF::SREBF2,P50548
12815,CORE,MA1939,1,ERF::SREBF2,Q12772
12816,CORE,MA1940,1,ETV2::DRGX,A6NNA5
12816,CORE,MA1940,1,ETV2::DRGX,Q3KNT2
12817,CORE,MA1941,1,ETV2::FIGLA,Q3KNT2
12817,CORE,MA1941,1,ETV2::FIGLA,Q6QHK4
12818,CORE,MA1942,1,ETV2::FOXI1,Q12951
12818,CORE,MA1942,1,ETV2::FOXI1,Q3KNT2
12819,CORE,MA1943,1,ETV2::HOXB13,Q3KNT2
12819,CORE,MA1943,1,ETV2::HOXB13,Q92826
12820,CORE,MA1944,1,ETV5::DRGX,A6NNA5
12820,CORE,MA1944,1,ETV5::DRGX,P41161
12821,CORE,MA1945,1,ETV5::FIGLA,P41161
12821,CORE,MA1945,1,ETV5::FIGLA,Q6QHK4
12822,CORE,MA1946,1,ETV5::FOXI1,P41161
12822,CORE,MA1946,1,ETV5::FOXI1,Q12951
12823,CORE,MA1947,1,ETV5::FOXO1,P41161
12823,CORE,MA1947,1,ETV5::FOXO1,Q12778
12824,CORE,MA1948,1,ETV5::HOXA2,O43364
12824,CORE,MA1948,1,ETV5::HOXA2,P41161
12825,CORE,MA1949,1,FLI1::DRGX,A6NNA5
12825,CORE,MA1949,1,FLI1::DRGX,Q01543
12826,CORE,MA1950,1,FLI1::FOXI1,Q01543
12826,CORE,MA1950,1,FLI1::FOXI1,Q12953
12827,CORE,MA1951,1,FOS,P01100
12828,CORE,MA1952,1,FOXJ2::ELF1,P32519
12828,CORE,MA1952,1,FOXJ2::ELF1,Q9P0K8
12829,CORE,MA1953,1,FOXO1::ELF1,P32519
12829,CORE,MA1953,1,FOXO1::ELF1,Q12778
12830,CORE,MA1954,1,FOXO1::ELK1,P19419
